date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
2020-06-09,7178904,0,0,0,,0,0,105928,0,0,0,,0,0
2020-06-10,7280933,0,0,0,,0,0,103825,0,0,0,,0,0
2020-06-11,7436665,0,0,0,,0,0,155732,0,0,0,,0,0
2020-06-12,7577330,0,0,0,,0,0,144586,0,0,0,,0,0
2020-06-13,7715414,0,0,0,,0,0,138084,0,0,0,,0,0
2020-06-14,7847532,0,0,0,,0,0,126736,0,0,0,,0,0
2020-06-15,7973787,0,0,0,,0,0,126973,0,0,0,,0,0
2020-06-16,8098293,0,0,0,,0,0,128161,0,0,0,,0,0
2020-06-17,8236018,0,0,0,,0,0,138346,0,0,0,,0,0
2020-06-18,8416451,0,0,0,,0,0,181030,0,0,0,,0,0
2020-06-19,8552443,0,0,0,,0,0,141607,0,0,0,,0,0
2020-06-20,8729804,0,0,0,,0,0,177210,0,0,0,,0,0
2020-06-21,8855537,0,0,0,,0,0,118424,0,0,0,,0,0
2020-06-22,9018053,0,0,0,,0,0,167933,0,0,0,,0,0
2020-06-23,9163341,0,0,0,,0,0,149807,0,0,0,,0,0
2020-06-24,9327731,0,0,0,,0,0,167478,0,0,0,,0,0
2020-06-25,9509393,0,0,0,,0,0,182743,0,0,0,,0,0
2020-06-26,9689712,0,0,0,,0,0,186343,0,0,0,,0,0
2020-06-27,9878786,0,0,0,,0,0,184287,0,0,0,,0,0
2020-06-28,10060911,0,0,0,,0,0,179084,0,0,0,,0,0
2020-06-29,10224925,0,0,0,,0,0,168208,0,0,0,,0,0
2020-06-30,10380136,0,0,0,,0,0,156519,0,0,0,,0,0
2020-07-01,10558100,0,0,0,,0,0,178406,0,0,0,,0,0
2020-07-02,10777104,0,0,0,,0,0,224140,0,0,0,,0,0
2020-07-03,10956618,0,0,0,,0,0,178687,0,0,0,,0,0
2020-07-04,11167650,0,0,0,,0,0,201310,0,0,0,,0,0
2020-07-05,11356550,0,0,0,,0,0,185052,0,0,0,,0,0
2020-07-06,11536202,0,0,0,,0,0,183522,0,0,0,,0,0
2020-07-07,11710288,0,0,0,,0,0,164155,0,0,0,,0,0
2020-07-08,11926929,0,0,0,,0,0,222238,0,0,0,,0,0
2020-07-09,12137764,0,0,0,,0,0,210054,0,0,0,,0,0
2020-07-10,12365469,0,0,0,,0,0,232145,0,0,0,,0,0
2020-07-11,12590886,0,0,0,,0,0,215349,0,0,0,,0,0
2020-07-12,12811740,0,0,0,,0,0,216195,0,0,0,,0,0
2020-07-13,13005323,0,0,0,,0,0,198477,0,0,0,,0,0
2020-07-14,13202960,0,0,0,,0,0,196379,0,0,0,,0,0
2020-07-15,13431839,0,0,0,,0,0,234955,0,0,0,,0,0
2020-07-16,13659498,0,0,0,,0,0,229297,0,0,0,,0,0
2020-07-17,13915343,0,0,0,,0,0,252634,0,0,0,,0,0
2020-07-18,14162835,0,0,0,,0,0,233376,0,0,0,,0,0
2020-07-19,14392098,0,0,0,,0,0,232683,0,0,0,,0,0
2020-07-20,14614511,0,0,0,,0,0,221413,0,0,0,,0,0
2020-07-21,14822081,0,0,0,,0,0,208777,0,0,0,,0,0
2020-07-22,15059888,0,0,0,,0,0,237148,0,0,0,,0,0
2020-07-23,15345966,0,0,0,,0,0,282888,0,0,0,,0,0
2020-07-24,15628024,0,0,0,,0,0,290624,0,0,0,,0,0
2020-07-25,15858719,0,0,0,,0,0,214335,0,0,0,,0,0
2020-07-26,16168257,0,0,0,,0,0,300541,0,0,0,,0,0
2020-07-27,16379816,0,0,0,,0,0,214612,0,0,0,,0,0
2020-07-28,16609335,0,0,0,,0,0,228436,0,0,0,,0,0
2020-07-29,16868882,0,0,0,,0,0,252195,0,0,0,,0,0
2020-07-30,17085666,0,0,0,,0,0,282580,0,0,0,,0,0
2020-07-31,17420475,0,0,0,,0,0,271844,0,0,0,,0,0
2020-08-01,17712830,0,0,0,,0,0,278079,0,0,0,,0,0
2020-08-02,17990118,0,0,0,,0,0,263746,0,0,0,,0,0
2020-08-03,18202259,0,0,0,,0,0,210669,0,0,0,,0,0
2020-08-04,18415042,0,0,0,,0,0,213272,0,0,0,,0,0
2020-08-05,18674281,0,0,0,,0,0,258141,0,0,0,,0,0
2020-08-06,18944114,0,0,0,,0,0,273296,0,0,0,,0,0
2020-08-07,19228449,0,0,0,,0,0,288871,0,0,0,,0,0
2020-08-08,19508000,0,0,0,,0,0,268099,0,0,0,,0,0
2020-08-09,19771870,0,0,0,,0,0,262027,0,0,0,,0,0
2020-08-10,20001674,0,0,0,,0,0,234390,0,0,0,,0,0
2020-08-11,20224894,0,0,0,,0,0,219992,0,0,0,,0,0
2020-08-12,20493232,0,0,0,,0,0,268172,0,0,0,,0,0
2020-08-13,20770927,0,0,0,,0,0,278714,0,0,0,,0,0
2020-08-14,21057439,0,0,0,,0,0,291748,0,0,0,,0,0
2020-08-15,21345517,0,0,0,,0,0,283936,0,0,0,,0,0
2020-08-16,21589534,0,0,0,,0,0,230272,0,0,0,,0,0
2020-08-17,21811490,0,0,0,,0,0,228660,0,0,0,,0,0
2020-08-18,22011066,0,0,0,,0,0,197670,0,0,0,,0,0
2020-08-19,22271790,0,0,0,,0,0,261734,0,0,0,,0,0
2020-08-20,22546429,0,0,0,,0,0,275023,0,0,0,,0,0
2020-08-21,22801070,0,0,0,,0,0,263470,0,0,0,,0,0
2020-08-22,23088608,0,0,0,,0,0,264658,0,0,0,,0,0
2020-08-23,23339500,0,0,0,,0,0,242569,0,0,0,,0,0
2020-08-24,23552150,0,0,0,,0,0,225066,0,0,0,,0,0
2020-08-25,23772621,0,0,0,,0,0,208235,0,0,0,,0,0
2020-08-26,24023751,0,0,0,,0,0,255669,0,0,0,,0,0
2020-08-27,24302697,0,0,0,,0,0,280595,0,0,0,,0,0
2020-08-28,24591193,0,0,0,,0,0,270635,0,0,0,,0,0
2020-08-29,24874662,0,0,0,,0,0,276711,0,0,0,,0,0
2020-08-30,25134770,0,0,0,,0,0,255075,0,0,0,,0,0
2020-08-31,25339645,0,0,0,,0,0,213106,0,0,0,,0,0
2020-09-01,25601774,0,0,0,,0,0,260800,0,0,0,,0,0
2020-09-02,25878271,0,0,0,,0,0,271933,0,0,0,,0,0
2020-09-03,26143490,0,0,0,,0,0,276560,0,0,0,,0,0
2020-09-04,26445557,0,0,0,,0,0,310413,0,0,0,,0,0
2020-09-05,26764246,0,0,0,,0,0,282854,0,0,0,,0,0
2020-09-06,27022914,0,0,0,,0,0,252186,0,0,0,,0,0
2020-09-07,27253420,0,0,0,,0,0,231236,0,0,0,,0,0
2020-09-08,27455318,0,0,0,,0,0,199158,0,0,0,,0,0
2020-09-09,27701529,0,0,0,,0,0,252799,0,0,0,,0,0
2020-09-10,27998245,0,0,0,,0,0,300283,0,0,0,,0,0
2020-09-11,28299711,0,0,0,,0,0,309378,0,0,0,,0,0
